sangfroidperilouslicentiousebullientabasement
abated	{'Verb': ['make less active or intense', 'become less in amount or intensity']}
peculiarly	{'Adverb': ['uniquely or characteristically', 'in a manner differing from the usual or expected', 'to a distinctly greater extent or degree than is common', 'or specially']}
pedagogy	{'Noun': ['the principles and methods of instruction', 'the profession of a teacher', 'the activities of educating or instructing; activities that impart knowledge or skill']}
pedantic	{'Adjective': ['marked by a narrow focus on or display of learning especially its trivial aspects']}
pedantry	{'Noun': ['an ostentatious and inappropriate display of learning']}
peddle	{'Verb': ['sell or offer for sale from place to place']}
pedestrian	{'Noun': ['a person who travels by foot'], 'Adjective': ['lacking wit or imagination']}
peer	{'Noun': ['a person who is of equal standing with another in a group', 'a nobleman (duke or marquis or earl or viscount or baron'], 'Verb': ['look searchingly']}
peers	{'Noun': ['a person who is of equal standing with another in a group', 'a nobleman (duke or marquis or earl or viscount or baron'], 'Verb': ['look searchingly']}
penchant	{'Noun': ['a strong liking']}
perennially	{'Adverb': ['in a perennial manner; repeatedly']}
peril	{'Noun': ['a source of danger; a possibility of incurring loss or misfortune', 'a state of danger involving risk', 'a venture undertaken without regard to possible loss or injury'], 'Verb': ['pose a threat to; present a danger to', 'put in a dangerous, disadvantageous, or difficult position']}
perilous	{'Adjective': ['fraught with danger']}
pernicious	{'Adjective': ['exceedingly harmful', 'working or spreading in a hidden and usually injurious way']}
perpetuate	{'Verb': ['cause to continue or prevail']}
perpetuity	{'Noun': ['the property of being perpetual (seemingly ceaseless']}
personable	{'Adjective': ['(of persons']}
perspicacious	{'Adjective': ['acutely insightful and wise', 'mentally acute or penetratingly discerning']}
pert	{'Adjective': ['characterized by a lightly pert and exuberant quality']}
pertinent	{'Adjective': ['having precise or logical relevance to the matter at hand', 'being of striking appropriateness and pertinence']}
perturbing	{'Verb': ['disturb in mind or make uneasy or cause to be worried or alarmed', 'disturb or interfere with the usual path of an electron or atom', 'cause a celestial body to deviate from a theoretically regular orbital motion, especially as a result of interposed or extraordinary gravitational pull', 'throw into great confusion or disorder'], 'Adjective': ['causing distress or worry or anxiety', 'or disturbing']}
pervades	{'Verb': ['spread or diffuse through']}
phased in
philandering	{'Verb': ['have amorous affairs; of men', 'talk or behave amorously, without serious intentions']}
phlegmatic	{'Adjective': ['showing little emotion']}
piddling	"{'Verb': [""waste time; spend one's time idly or inefficiently"", 'eliminate urine'], 'Adjective': ['(informal', 'or small']}"
pidgins	{'Noun': ['an artificial language used for trade between speakers of different languages']}
piecemeal	{'Adjective': ['one thing at a time'], 'Adverb': ['a little bit at a time']}
piety	{'Noun': ['righteousness by virtue of being pious']}
pillory	{'Noun': ['a wooden instrument of punishment on a post with holes for the wrists and neck; offenders were locked in and so exposed to public scorn'], 'Verb': ['expose to ridicule or public scorn', 'punish by putting in a pillory', 'criticize harshly or violently']}
piques	{'Noun': ['tightly woven fabric with raised cords', 'a sudden outburst of anger'], 'Verb': ['cause to feel resentment or indignation']}
pitch	"{'Noun': ['the property of sound that varies with variation in the frequency of vibration', '(baseball', ""a vendor's position (especially on the sidewalk"", 'promotion by means of an argument and demonstration', 'degree of deviation from a horizontal plane', 'any of various dark heavy viscid substances obtained as a residue', 'a sports field with predetermined dimensions for playing soccer', 'a high approach shot in golf', 'an all-fours game in which the first card led is a trump', 'abrupt up-and-down motion (as caused by a ship or other conveyance', 'the action or manner of throwing something'], 'Verb': ['throw or toss with a light motion', 'move abruptly', 'fall or plunge forward', 'set to a certain pitch', 'sell or offer for sale from place to place', 'be at an angle', 'heel over', 'erect and fasten', 'throw or hurl from the mound to the batter, as in baseball', 'hit (a golf ball', 'lead (a card', 'set the level or character of']}"
pith	{'Noun': ['soft spongelike central cylinder of the stems of most flowering plants', 'the choicest or most essential or most vital part of some idea or experience'], 'Verb': ['remove the pith from (a plant']}
pithy	{'Adjective': ['concise and full of meaning']}
placid	{'Adjective': ['(of a body of water', 'not easily irritated']}
plastic	{'Noun': ['generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives', 'a card (usually plastic'], 'Adjective': ['capable of being molded or modeled (especially of earth or clay or other soft material', 'capable of being influenced or formed', 'forming or capable of forming or molding or fashioning']}
plaudits	{'Noun': ['enthusiastic approval', 'enthusiastic approval']}
plethora	{'Noun': ['extreme excess']}
pliant	{'Adjective': ['capable of being influenced or formed', 'capable of being shaped or bent or drawn out', 'able to adjust readily to different conditions', 'capable of being bent or flexed or twisted without breaking']}
plodding	{'Noun': ['hard monotonous routine work', 'the act of walking with a slow heavy gait'], 'Verb': ['walk heavily and firmly, as when weary, or through mud'], 'Adjective': ['(of movement']}
plunder	{'Noun': ['goods or money obtained illegally'], 'Verb': ['take illegally; of intellectual property', 'plunder (a town', 'steal goods; take as spoils', 'destroy and strip of its possession']}
poignant	{'Adjective': ['arousing affect', 'keenly distressing to the mind or feelings']}
polarized	{'Verb': ['cause to vibrate in a definite pattern', 'cause to concentrate about two conflicting or contrasting positions', 'become polarized in a conflict or contrasting situation']}
polemic	{'Noun': ['a writer who argues in opposition to others (especially in theology', 'a controversy (especially over a belief or dogma'], 'Adjective': ['of or involving dispute or controversy']}
polemical	{'Adjective': ['of or involving dispute or controversy']}
politic	{'Adjective': ['marked by artful prudence, expedience, and shrewdness', 'smoothly agreeable and courteous with a degree of sophistication']}
politicized	{'Verb': ['give a political character to']}
polymath	{'Noun': ['a person of great and varied learning']}
ponderous	{'Adjective': ['slow and laborious because of weight', 'having great mass and weight and unwieldiness', 'labored and dull']}
populace	{'Noun': ['people in general considered as a whole']}
populist	{'Noun': ['someone who advocates the rights of the common people over those of the elite']}
posit	{'Noun': ['(logic'], 'Verb': ['put (something somewhere', 'put before', 'take as a given; assume as a postulate or axiom']}
posited	{'Verb': ['put (something somewhere', 'put before', 'take as a given; assume as a postulate or axiom']}
posterity	{'Noun': ['all of the offspring of a given progenitor', 'all future generations']}
postmodern	{'Adjective': ['of or relating to postmodernism']}
posture	"{'Noun': ['the arrangement of the body and its limbs', ""characteristic way of bearing one's body"", 'a rationalized mental attitude', 'capability in terms of personnel and materiel that affect the capacity to fight a war'], 'Verb': ['behave affectedly or unnaturally in order to impress others', 'assume a posture as for artistic purposes']}"
poultices	{'Noun': ['a medical dressing consisting of a soft heated mass of meal or clay that is spread on a cloth and applied to the skin to treat inflamed areas or improve circulation etc.'], 'Verb': ['dress by covering with a therapeutic substance']}
pragmatic	{'Noun': ['an imperial decree that becomes part of the fundamental law of the land'], 'Adjective': ['concerned with practical matters', 'or pragmatic', 'of or concerning the theory of pragmatism', 'guided by practical experience and observation rather than theory']}
